ref:mise;name;operator;address;latitude;longitude
55239;IP Rigutino;FATIMA S.R.L.;SAN JACOPO 294 52100;43.368869510504425;11.879181861877441
57243;myOil Arezzo;ROSSETTI FUEL SRL;Via Alessandro Fleming snc 52100;43.469478;11.85534
51651;paolo pratesi;PRATESI PAOLO;case nuove di ceciliano,16 16 52100;43.49197333409652;11.87521219253536
30217;PV 4684;GESTIONI INNOVATIVE ITALIA S.R.L.;VIA TURATI - LOC.PASCIONE SNC 52100;43.48021878079349;11.868757456541061
57277;RIGUTINO;OLYMPIA SERVICE S.R.L.;S.R. 71 KM 135+462 RIGUTINO S.C. 52100;43.36855714660135;11.879168825157178
45701;SHELL AREZZO - V. ANCONETANA;SHELL AREZZO - V. ANCONETANA;Via Anconetana 102 52100;43.45834181300573;11.901006514993828
55202;SHELL AREZZO VIA ROMANA LOC. SAN LAZZARO;SHELL AREZZO VIA ROMANA LOC. SAN LAZZARO;ROMANA LOC. S. LAZZARO SNC 52100;43.4448977;11.8580303
58150;Sp 71 Umbro Casentinese;EUROPEA SERVIZI SOCIETA' A RESPONSABILITA' LIMITATA;SR 71 Umbro Casentinese Romagnola Km150+900 52100;43.48699171602335;11.87570571899414
46342;STAZIONE DI SERVIZIO IP INDICATORE;MANCINI SASCIA;VIA CASSIA LOC. INDICATORE  SNC 52100;43.47097478191398;11.814084649085999
10357;Stazione di Servizio Tamoil;DANESI GIUSEPPE & INNOCENTI ELIO S.N.C.;Via Galileo Ferraris 7 52100;43.46775219780616;11.85098648071289
55930;SUPERGAS;SUPERGAS S.R.L.;VIALE SANTA MARGHERITA  52100;43.47551;11.87872
40087;GALLI ILVA;GALLI ILVA;VIA RICCI 34/A 52032;43.70403046928737;12.187297940254211
4214;AREA DI SERVIZIO LECHIANE;AREA DI SERVIZIO LE CHIANE DI LODDI DAVID E SPINOSO MICHELE & C. S.N.C.;VIA BUONCONTE DA MONTEFELTRO 9 52011;43.69424176833497;11.802805598384566
48970;BIBBIENA CARBURANTI;SILCA S.R.L.;VIA LOC. PALAZZETTO 0 52011, BIBBIENA (AR) SNC 52011;43.70187725169301;11.804056880538951
11468;BIBBIENA-LOC. PIANACCI 8 SS 71;SERVIZI & GESTIONI ITALIA S.R.L.;LOC. PIANACCI SS 71 8 52011;43.71788587052159;11.808961629867554
7089;C. & C. DISTRIBUZIONE CARBURANTI DI CECCONI E CORDOVANI SNC;C. & C. DISTRIBUZIONE CARBURANTI DI CECCONI E CORDOVANI S.N.C.;VIA NAZIONALE  52010;43.7309519611638;11.811676025390625
47427;ESSO BIBBIENA SS.71 Km 179+602;ESSO BIBBIENA SS.71 Km 179+602;SS.71 KM 179+602 BIBBIENA SCALO  51022;43.699080381431614;11.810535159027346
13757;zavagli snc di zavagli gianni e c.;ZAVAGLI S.N.C. DI ZAVAGLI GIANNI E C.;VIA UMBRO CASENTINESE  138 52011;43.698274173742604;11.810502483317237
38414;OILFIN s.r.l. - BUCINE;OILFIN S.R.L.;VIA PRIMO MAGGIO  134 52021;43.43570712821327;11.653240889549238
15936;ALFA CARBURANTI;AL.FA. CARBURANTI S.A.S. DI SCARTONI ENRICO;VIA DANTE ALIGHIERI 74/B 52010;43.565060370919866;11.862675763376615
57189;Distributore Ala;MONCINI PIERO;FOSSO DA BAGNO 38 52033;43.61371078406693;11.995335817337022
53095;6881;T.D.M. S.R.L.;UMBRO CASENTINESE SNC 52016;43.662831;11.840828
58884;PV 4614;GESTIONI INNOVATIVE ITALIA S.R.L.;S. S. 71 UMBRO CASENTINESE 0 52016;43.63974458786013;11.837681396362868
58536;STAZIONE ESSO DI CHELI MATTEO;CHELI MATTEO;Via Palmiro Togliatti 16  52018;43.745306399821004;11.710615511135115
21575;ANGELILLO F. & C. S.N.C.;ANGELILLO F. & C. S.N.C.;VIA FIORENTINA   52026;43.62324643041301;11.507076993584633
52640;Taddeucci auto snc;TADDEUCCI AUTO S.N.C. DI TADDEUCCI FRANCESCO E C.;ALCIDE DE GASPERI 47 52026;43.63886209463507;11.540301973107944
47373;Stazione di Servizio Esso;PETROL CAST S.R.L.;Via Setteponti, 1/R 1/R 52029;43.52241965074751;11.76792511213197
50448;CASTIGLION FIORENTINO;SIRTAM S.P.A.;VIA SERRISTORI  34 52043;43.34356569518536;11.907880281535173
6594;CASTIGLION FIORENTINO S.S.71 UMBRO CASENTINESE 159;SERVIZI & GESTIONI ITALIA S.R.L.;S.S.71 UMBRO CASENTINESE 159 52043;43.33381672231936;11.923259943723679
12226;F.LLI MILIGHETTI SNC;F.LLI MILIGHETTI S.N.C. DI MILIGHETTI MARINO E LIDO & C.;VIA ARETINA 117 52043;43.35040956219107;11.907621134918145
8336;STAZIONE DI SERVIZIO AGIP CAFE 4653 SNC;STAZIONE SERVIZIO AGIP CAFE' 4653 S.N.C. DI MARCHESINI E SOGGETTI;VIA UMBRO-CASENTINESE 120/122A 52043;43.34138828754621;11.91654771566391
24387;CAVRIGLIA;TIBER OIL S.R.L.;VIA EUROPA 1 52022;43.525341132299815;11.487569957971573
14440;mugnai marco ;MUGNAI MARCO;VIA G. CASINI 1 52022;43.54275925780419;11.451942846179008
46859;Stazione di servizio PGV di Baldi A. SAS;STAZIONE DI SERVIZIO PGV DI BALDI A. SAS;via delle miniere  fraz. Meleto  4 52022;43.56109337050119;11.464567256722603
58084;55385 CHIUSI DELLA VERNA;ENI FUEL S.P.A.;S.S.71 KM.176+460, LOC.CORSALONE  ;43.68121;11.829635
35354;AELLE SERVICE DI LAGARINI ALESSANDRO;AELLE SERVICE DI LAGARINI ALESSANDRO;VIA ROMA 47 52010;43.69728337125584;11.936736032366753
55530;M.P.;M.P.;ROMA 47 52010;43.693693833367796;11.938018798828125
53882;UZUNI IGLI;UZUNI IGLI;NAZIONALE S.N.C. 52010;43.681109360800356;11.829765425920481
3537;BADIA AL PINO EST;TICABI S.N.C. DI CANNONI VASCO & C.;Autostrada A1 MILANO-NAPOLI,  Km. 362, dir. nord 52041;43.40641196050068;11.763893933868417
3471;BADIA AL PINO OVEST;MATTESINI MATTEO & C. S.N.C.;Autostrada A1 MILANO-NAPOLI, Km. 362+300, dir. Sud - 52041;43.40652172181852;11.762473472213742
58391;CIVITELLA VAL DI CHIANA PIEVE AL TOPPO;SIRTAM S.P.A.;S.S.680 MONTE SAN SAVINO - SAN ZENO  52041;43.40211;11.79932
5998;MANNELLI GIUSEPPE SRL;MANNELLI GIUSEPPE SRL;Via dei Boschi 2 52041;43.40887494623825;11.768329011209113
50424;47152;CORO S.R.L.;LOC.SAN PIETRO A CEGLIOLO SS 71  52044;43.28780083784945;11.951943088954925
10048;AQUILA - CORTONA;AQUILA;Statale 71 Umbro Casentinese Romagnola, Km. 119+0,35, dir. SUD - 52044;43.255682964640336;11.980988457798958
5274;Arezzo - Camucia;BEYFIN S.P.A. SOCIETA' BENEFIT;STRADA PROVINCIALE DI MANZANO 1046 52044;43.250487123079374;11.95924311876297
25369;Beyfin;NAKO LEONARD;PIAZZA DEL MERCATO 1 52044;43.27320089506677;11.983482009578665
31600;CORTONA CENTOIA CARBURANTI;L'EDERA DI DOMINGO PIERONI;VIA C.A. CENTOIA 32 52044;43.189668596487046;11.932987948839013
25682;CORTONA SUD;SIRTAM S.P.A.;RA06 KM 14+080 52044;43.20322;11.9663636
7276;CORTONA-SS71 KM110 330 FR TERONTOLA;SERVIZI & GESTIONI ITALIA S.R.L.;FZ.TERONTOLA SS. 71 KM.110+330 SN 52040;43.18393095321763;12.013595402240753
31713;Esso Ricci-Miniati;RICCI - MINIATI DI RICCI BRUNO E C. S.N.C.;VIALE GIACOMO MATTEOTTI 138 52044;43.26573619400034;11.975146398811376
9991;ICM - Terontola;I.C.M. SOCIETA' IN NOME COLLETTIVO DI BRUNO, CRISTIANO E FABRIZIO MAGGI;Strada Statale 71 - Loc. Terontola  52044;43.19670191052097;12.013226598501205
50511;IVM;I V M SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;Via Ponti - Loc. Mercatale snc 52044;43.2539951510447;12.139502316713333
11222;L.C.DI LORENZONI EDI ;L.C. DI LORENZONI EDI & C. SNC;GIACOMO MATTEOTTI 144 52044;43.2666941571157;11.97494810185242
42803;OLIOCARBO;COPPINI AMERIGO;FRAZIONE COL DI MORRO 1 52044;43.312166995080595;12.100098907249048
31211;TM04675;PIT STOP LANE SNC DI DEBOLI M. NAPPINI G. E POMERANI R.;Statale 71 Umbro Casentinese Romagnola, Km. 116+512, dir. Arezzo - 52044;43.236734377092965;11.999130249023438
51285;8071;T.D.M. S.R.L.;S.S. 327 KM. 14+488 0 52045;43.283572905132075;11.826719793254096
47120;ESSO FOIANO DELLA CHIANA;ESSO FOIANO DELLA CHIANA;SP 327 DI FOIANO KM 20.900  52045;43.23119400977514;11.815719591103155
39662;OP Petroli FOIANO DELLA CHIANA;OLIVI S.P.A.;VIA DI AREZZO SP327 49/A/B 52045;43.258944180259284;11.81886836886406
54135;Piccini Fuels Foiano della Chiana;PICCINI PAOLO S.P.A.;SP 327 – Loc. Pialla - Via del Porto  snc 52045;43.24230512946541;11.827666341104516
34761;SIVOC;SOCIETA' ITALIANA VENDITA OLII CARBURANTI - S.I.V.O.C.- SOCIETA A RESPONSABILITA' LIMITATA;DELLE FARNIOLE 27 52045;43.22369387285156;11.8092580139637
27363;Tamoil 8071 carburanti lubrificanti;CORSI LUCA;STRADA STATALE 327 KM.14+488   52045;43.28356881401184;11.826705783605575
37440;LATERINA;SIRTAM S.P.A.;VIA PROV.LE VECCHIA ARETINA  52020;43.506203319752835;11.71310618519783
55308;ANDREINI VALERIO S.A.S DI ANDREINI FABIO E C.;ANDREINI VALERIO S.A.S DI ANDREINI FABIO E C.;DEL BAGNO 10 52019;43.475077177929;11.680872703041132
58989;RETITALIA DI CERRETI RYAN;CERRETI RYAN;VIA NAZIONALE  59 52020;43.480894090797776;11.71678622847714
54817;PE.BA. SNC DI BAZZECHI NICO & C:;PE.BA. SNC DI BAZZECHI NICO & C.;viale europa 27 52024;43.54866405959634;11.697657473550521
